Source,Target,Type,Id,Label,timeset,Weight
33,27,Directed,172050,,,1
34,11,Directed,172051,,,3
34,29,Directed,172052,,,2
35,11,Directed,172053,,,3
35,34,Directed,172054,,,3
35,29,Directed,172055,,,2
36,34,Directed,172056,,,2
36,35,Directed,172057,,,2
36,11,Directed,172058,,,2
36,29,Directed,172059,,,1
37,34,Directed,172060,,,2
37,35,Directed,172061,,,2
37,36,Directed,172062,,,2
37,11,Directed,172063,,,2
37,29,Directed,172064,,,1
38,34,Directed,172065,,,2
38,35,Directed,172066,,,2
38,36,Directed,172067,,,2
38,37,Directed,172068,,,2
38,11,Directed,172069,,,2
38,29,Directed,172070,,,1
39,25,Directed,172071,,,1
40,25,Directed,172072,,,1
41,24,Directed,172073,,,2
41,25,Directed,172074,,,3
42,41,Directed,172075,,,2
42,25,Directed,172076,,,2
42,24,Directed,172077,,,1
43,11,Directed,172078,,,3
43,26,Directed,172079,,,1
43,27,Directed,172080,,,1
44,28,Directed,172081,,,3
44,11,Directed,172082,,,1
45,28,Directed,172083,,,2
47,46,Directed,172084,,,1
48,47,Directed,172085,,,2
48,25,Directed,172086,,,1
48,27,Directed,172087,,,1
48,11,Directed,172088,,,1
49,26,Directed,172089,,,3
49,11,Directed,172090,,,2
50,49,Directed,172091,,,1
50,24,Directed,172092,,,1
51,49,Directed,172093,,,9
51,26,Directed,172094,,,2
51,11,Directed,172095,,,2
52,51,Directed,172096,,,1
52,39,Directed,172097,,,1
53,51,Directed,172098,,,1
54,51,Directed,172099,,,2
54,49,Directed,172100,,,1
54,26,Directed,172101,,,1
55,51,Directed,172102,,,6
55,49,Directed,172103,,,12
55,39,Directed,172104,,,1
55,54,Directed,172105,,,1
55,26,Directed,172106,,,21
55,11,Directed,172107,,,19
55,16,Directed,172108,,,1
55,25,Directed,172109,,,2
55,41,Directed,172110,,,5
55,48,Directed,172111,,,4
56,49,Directed,172112,,,1
56,55,Directed,172113,,,1
57,55,Directed,172114,,,1
57,41,Directed,172115,,,1
57,48,Directed,172116,,,1
58,55,Directed,172117,,,7
58,48,Directed,172118,,,7
58,27,Directed,172119,,,6
58,57,Directed,172120,,,1
58,11,Directed,172121,,,4
59,58,Directed,172122,,,15
59,55,Directed,172123,,,5
59,48,Directed,172124,,,6
59,57,Directed,172125,,,2
60,48,Directed,172126,,,1
60,58,Directed,172127,,,4
60,59,Directed,172128,,,2
61,48,Directed,172129,,,2
61,58,Directed,172130,,,6
61,60,Directed,172131,,,2
61,59,Directed,172132,,,5
61,57,Directed,172133,,,1
61,55,Directed,172134,,,1
62,55,Directed,172135,,,9
62,58,Directed,172136,,,17
62,59,Directed,172137,,,13
62,48,Directed,172138,,,7
62,57,Directed,172139,,,2
62,41,Directed,172140,,,1
62,61,Directed,172141,,,6
62,60,Directed,172142,,,3
63,59,Directed,172143,,,5
63,48,Directed,172144,,,5
63,62,Directed,172145,,,6
63,57,Directed,172146,,,2
63,58,Directed,172147,,,4
63,61,Directed,172148,,,3
63,60,Directed,172149,,,2
63,55,Directed,172150,,,1
64,55,Directed,172151,,,5
64,62,Directed,172152,,,12
64,48,Directed,172153,,,5
64,63,Directed,172154,,,4
64,58,Directed,172155,,,10
64,61,Directed,172156,,,6
64,60,Directed,172157,,,2
64,59,Directed,172158,,,9
64,57,Directed,172159,,,1
64,11,Directed,172160,,,1
65,63,Directed,172161,,,5
65,64,Directed,172162,,,7
65,48,Directed,172163,,,3
65,62,Directed,172164,,,5
65,58,Directed,172165,,,5
65,61,Directed,172166,,,5
65,60,Directed,172167,,,2
65,59,Directed,172168,,,5
65,57,Directed,172169,,,1
65,55,Directed,172170,,,2
66,64,Directed,172171,,,3
66,58,Directed,172172,,,3
66,59,Directed,172173,,,1
66,62,Directed,172174,,,2
66,65,Directed,172175,,,2
66,48,Directed,172176,,,1
66,63,Directed,172177,,,1
66,61,Directed,172178,,,1
66,60,Directed,172179,,,1
67,57,Directed,172180,,,3
68,25,Directed,172181,,,5
68,11,Directed,172182,,,1
68,24,Directed,172183,,,1
68,27,Directed,172184,,,1
68,48,Directed,172185,,,1
68,41,Directed,172186,,,1
69,25,Directed,172187,,,6
69,68,Directed,172188,,,6
69,11,Directed,172189,,,1
69,24,Directed,172190,,,1
69,27,Directed,172191,,,2
69,48,Directed,172192,,,1
69,41,Directed,172193,,,1
70,25,Directed,172194,,,4
70,69,Directed,172195,,,4
70,68,Directed,172196,,,4
70,11,Directed,172197,,,1
70,24,Directed,172198,,,1
70,27,Directed,172199,,,1
70,41,Directed,172200,,,1
70,58,Directed,172201,,,1
71,27,Directed,172202,,,1
71,69,Directed,172203,,,2
71,68,Directed,172204,,,2
71,70,Directed,172205,,,2
71,11,Directed,172206,,,1
71,48,Directed,172207,,,1
71,41,Directed,172208,,,1
71,25,Directed,172209,,,1
72,26,Directed,172210,,,2
72,27,Directed,172211,,,1
72,11,Directed,172212,,,1
73,48,Directed,172213,,,2
74,48,Directed,172214,,,2
74,73,Directed,172215,,,3
75,69,Directed,172216,,,3
75,68,Directed,172217,,,3
75,25,Directed,172218,,,3
75,48,Directed,172219,,,1
75,41,Directed,172220,,,1
75,70,Directed,172221,,,1
75,71,Directed,172222,,,1
76,64,Directed,172223,,,1
76,65,Directed,172224,,,1
76,66,Directed,172225,,,1
76,63,Directed,172226,,,1
76,62,Directed,172227,,,1
76,48,Directed,172228,,,1
76,58,Directed,172229,,,1
